"V1","V2","V3","V4","V5","V6"
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
0.405,0.336,0.296,0.275,0.256,0.2311
