"V1","V2","V3","V4","V5"
0.355625,0.22,0.53,0.55,0.55
0.355625,0.32,0.52,0.55,0.55
0.355625,0.29,0.6,0.55,0.55
0.355625,0.31,0.45,0.55,0.55
0.355625,0.39,0.43,0.55,0.55
0.355625,0.28,0.36,0.55,0.55
0.355625,0.32,0.3,0.55,0.55
0.355625,0.23,0.47,0.55,0.55
0.355625,0.29,0.35,0.55,0.55
0.355625,0.29,0.51,0.55,0.55
0.355625,0.25,0.42,0.55,0.55
0.355625,0.28,0.39,0.55,0.55
0.355625,0.36,0.45,0.55,0.55
0.355625,0.23,0.43,0.55,0.55
0.355625,0.34,0.52,0.55,0.55
0.355625,0.36,0.35,0.55,0.55
0.355625,0.28,0.42,0.55,0.55
0.355625,0.31,0.45,0.55,0.55
0.355625,0.24,0.4,0.55,0.55
0.24,0.3,0.58,0.55,0.55
0.38,0.33,0.47,0.55,0.55
0.43,0.39,0.51,0.55,0.55
0.61,0.3,0.79,0.55,0.55
0.35,0.35,0.58,0.55,0.55
0.28,0.45,0.42,0.55,0.55
0.32,0.33,0.51,0.55,0.55
0.3,0.23,0.71,0.55,0.55
0.41,0.28,0.63,0.55,0.55
0.36,0.34,0.57,0.55,0.55
0.28,0.47,0.56,0.55,0.55
0.39,0.46,0.65,0.55,0.55
0.3,0.46,0.45,0.55,0.55
0.32,0.35,0.36,0.55,0.55
0.39,0.48,0.42,0.55,0.55
0.33,0.3,0.52,0.55,0.55
0.355625,0.68,0.49,0.55,0.55
0.355625,0.39,0.44,0.55,0.55
0.355625,0.22,0.62,0.55,0.55
0.355625,0.27,0.78,0.55,0.55
