"V1","V2","V3","V4","V5"
0,45993.28,17342.97,0,0
0,18318.68,7069.14,0,0
0,4839.41,3338,0,0
0,5942.61,10016.54,0,0
0,6925.37,5279.03,33.6,0
0,18730.68,8912.42,27.3,0
0,5889.55,7917.85,38.2,0
0,14774.38,6111.82,112.5,0
0,27000.45,24538.3,68.2,0
0,43523.88,35005.54,47.3,0
0,30456.24,27070.59,166,0
0,8397.88,6421.5,51.5,0
0,6074.29,1397.52,16.6,0
0,7020.75,3102.43,22.2,0
0,1593.48,2330.01,70.2,0
0,2035.3,5754.22,0,0
0,17077.89,11846.93,0,0
0,25849.47,5562.57,0,0
0,11510,2649.75,0,0
16742.21,3741.82,629.04,0,0
8234.54,1493.45,579.77,0,0
14947.33,529.85,1704.84,0,0
11971.86,2393.74,1389.37,0,42.2
13359.86,3908.97,1066.77,0,0
21548.39,4137.04,3556.07,0,0
14708.84,6162.7,3107.97,0,0
19818.78,5117.79,2256.89,0,0
12608.49,4801.36,2545.21,0,59.1
16101.02,2626.64,1413.65,0,243.9
10618.56,2910.49,3443.4,0,119.8
5988.32,750.44,1953.92,0,0
3010.21,1002.58,303.12,0,77.1
4145.32,1143.77,3025.86,0,57.2
33786.7,3334.65,4060.28,0,47.3
20972.74,2429.57,1983.45,0,48.9
0,2112.49,3774.11,0,0
0,3265.56,1924.74,0,64.6
0,4738.4,14092.18,0,200.2
0,3828.25,1869.97,0,222.1
