"V1","V2","V3","V4","V5","V6"
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
0.0072,0.4703,0.9817,0.9984,0.9968,1
