"V1","V2","V3","V4","V5","V6"
0.173,0.271,0.326,0.345,0.378,0.428
0.17,0.254,0.323,0.371,0.405,0.457
0.185,0.242,0.34,0.39,0.415,0.481
0.205,0.257,0.343,0.433,0.464,0.557
0.185,0.254,0.34,0.454,0.505,0.542
0.206,0.251,0.329,0.452,0.578,0.656
0.155,0.265,0.326,0.427,0.562,0.662
0.183,0.231,0.34,0.427,0.569,0.925
0.102,0.232,0.31,0.427,0.546,0.65
0.21,0.192,0.304,0.413,0.559,0.833
0.15,0.243,0.299,0.418,0.577,0.819
0.152,0.204,0.278,0.363,0.492,0.656
0.147,0.218,0.294,0.347,0.442,0.608
0.155,0.228,0.293,0.411,0.489,0.642
0.227,0.223,0.317,0.366,0.491,0.631
0.302,0.269,0.326,0.417,0.497,0.821
0.03,0.242,0.284,0.44,0.602,0.957
0.199,0.125,0.25,0.317,0.548,0.884
0.049,0.209,0.274,0.331,0.493,0.798
0.065,0.165,0.283,0.363,0.488,0.918
0.086,0.186,0.357,0.406,0.535,1.04
0.047,0.174,0.318,0.403,0.459,0.622
0.036,0.13,0.283,0.359,0.473,0.758
0.065,0.16,0.282,0.385,0.492,0.74
0.097,0.16,0.364,0.414,0.517,0.768
0.115,0.2,0.304,0.442,0.514,0.726
0.084,0.222,0.339,0.452,0.557,1.695
0.133,0.205,0.37,0.474,0.61,0.752
0.096,0.258,0.367,0.502,0.62,0.824
0.119,0.219,0.397,0.49,0.658,0.751
0.054,0.227,0.369,0.501,0.644,0.945
0.092,0.167,0.369,0.472,0.577,0.799
0.065,0.2,0.35,0.472,0.585,0.795
0.071,0.16,0.332,0.444,0.557,0.783
0.072,0.172,0.302,0.42,0.546,0.834
0.111,0.172,0.323,0.409,0.521,1.077
0.064,0.206,0.312,0.441,0.526,0.753
0.059,0.172,0.341,0.415,0.536,0.702
0.102,0.167,0.34,0.451,0.519,0.717
